uid,sci2014_label,kmeans_label,dbscan_label,hierarchical_label,spectral_label,em_label
dSWJYuyqJXL6Bw8roBsUJw,0,0,1,2,0,1
ut_QSsaf-1E_Pq_UEC8tdw,1,1,2,3,1,0
D_JXcH4VKHQpKIuJgsw0hQ,0,0,1,2,0,1
Asg_gB1xoqJb8PAl3q-elw,0,0,1,2,0,1
8WQRwQ1aP_LHXtEJaw23Rw,0,0,1,2,0,1
xSp6sycBHks52Dwdeu26JQ,0,0,1,2,0,1
4M3an6aJxJpbFOwDPpjmzQ,0,0,1,2,0,1
ny0I8mB05gHQ-aX9jgT4qQ,0,0,1,2,0,1
JtpZw-NLL5m6BNjd0LPQVQ,0,0,1,2,0,1
0xKwUYwXyEQ4hXe8BTqaog,0,0,1,2,0,1
WOLLLDVrzOMplnJvV043AQ,0,0,1,2,0,1
h4pZ7lmMNredDFK49itwgQ,1,1,0,3,0,0
ilaYd4_xFlwr8QCEk8ji2A,0,0,1,2,0,1
sSqL6hDyFjdQmbSNy_OPkg,0,0,1,2,0,1
k6dajR1dGj9LefIoRxvfYA,0,0,1,2,0,1
ciz5ctL6H2TeARCpEPy_GA,0,0,1,2,0,1
lrW8hiY0K3-1imP_9gzrNA,1,1,0,3,0,0
1zdgpyxvlzWL-sQ37y28yw,0,0,1,2,0,1
S88QtT4esAcmYGD0Icx4hw,1,1,3,3,0,0
UQhaNSBjUqax4JJcq1lyoA,0,0,1,2,0,1
J-nle7_7lp9umU80G1XYgw,0,0,1,2,0,1
un5LELsWFeTx8-B8hcArRg,0,0,1,2,0,1
-WkOKCQxbVreEFQLBZex-g,0,0,1,2,0,1
uqcM00Kf4Nr23PmS-VIR5g,0,0,1,2,0,1
itqAqPEx5r7rl9bRGSEizg,0,0,1,2,0,1
HcY-7gFDdeNGTQCGiukBQQ,0,0,1,2,0,1
_1FfRTvP8fgtTZ_NaMOfSA,0,0,1,2,0,1
DWpDDBJvO_fLqhwEwY2joQ,0,0,1,2,0,1
qa-UevZKNZ_vy01yQ2bYcg,0,0,1,2,0,1
Po6gGHh9OQVsdgBVPxTnzg,1,1,0,3,0,0
t1ToOy7-4yumhNrY3K5GFA,1,1,4,3,1,0
hI_mZNjwIG0ypJaDZyebzw,1,1,0,3,0,0
YQFFdoZ8pw7NJqjUwAiNyw,1,1,2,3,1,0
pRRiH2PvzuXFI0EAYp08bQ,1,1,0,3,0,0
zwVrTTzvrHpagZXNvvsY7Q,0,0,1,2,0,1
o7jK5jn4rAd6_dYF_bbGcw,1,1,0,3,0,0
rXrJT8AkZ4FyVOWaoTw9zA,0,0,1,2,0,1
ZF76n-zE23zkSkRcF1qAjQ,1,1,0,3,0,0
yYccIjBmQN0G0v55gd1BTw,1,1,2,3,1,0
ovvhUiv4Xx4VKpdM-StYKg,0,0,1,2,0,1
rsxDdYl4hCFNmNG1nB84Gg,0,0,1,2,0,1
BXNjlKfbaOIln9n5bmhoJA,0,0,1,2,0,1
wd_JZjOZhqBvi4LKuuV2hA,1,1,3,3,0,0
CSsgnTBsBMkBc_RfsadZFg,0,0,1,2,0,1
Y0mEYxDfGSfsXVWtcUXpwQ,1,1,2,3,1,0
2NhdgRRyCKnRPnlqCSTRYQ,1,1,2,3,1,0
ZSe9YhWVUse3tnnwPD3SUQ,0,0,1,2,0,1
bepU_7y1LJF4yVuC9hHnYQ,0,0,1,2,0,1
7IXOye9a0R7Z1T40lu6ygg,1,1,0,3,0,0
u5I7i94PZB4t3PW8dkWs3g,1,1,2,3,1,0
g8OozJjZwliRYdAZOTILPw,0,0,1,2,0,1
KXVZqQdcVpa-ZaIdrDpQPQ,0,0,1,2,0,1
gV-T3c5849iB8JhoWH9L6g,0,0,1,2,0,1
qgl7Q8yVVKcsg01O9oy3KA,1,1,0,3,0,0
XjC2e2R78vr7SyU6yXg9rw,1,1,3,3,0,0
Z94kp8wdGDbashN5sIrKOw,0,0,1,2,0,1
vNTQqopoovs2Q9Ik8W1_Vw,0,0,1,2,0,1
iPmJuvv9vrmvGKoz85ZF7A,2,2,-1,1,0,2
6yeA-JeqLMJJiupMcLmzQw,1,1,0,3,0,0
IhGPz3Cluc2W7XquMffxSQ,0,0,1,2,0,1
5sNVBiWwHq82rgmY-2pxwQ,0,0,1,2,0,1
Fp6M_UGXK1RTTVCZgWMf2A,0,0,1,2,0,1
5BQW30_rGFFhYyv6gNTuTw,0,0,1,2,0,1
kfujM1I6Gc30trDF4KPY7Q,1,1,0,3,0,0
mBpPuuktCtkleFm5yQBoxg,0,0,1,2,0,1
h10d7CwjuEtcqL_WumFgmg,1,1,0,3,0,0
E7D17Tl_jrcjuye_crjdYA,1,1,0,3,0,0
fS0qqxHfUtJUcgbA5pqEnA,2,2,-1,1,2,2
FPggU_u2Es0YOTNM_8Xucg,1,1,2,3,1,0
8Me0QYZ6Jm2-JqtwsWmhYQ,1,1,0,3,0,0
hynNO9OnuaHvskQeYM2sbg,1,1,0,3,0,0
I75WqXtbA3FmZKoieo7YSw,1,1,2,3,1,0
h8GTDBAQb6Vr7mi_Y7xp8w,0,0,1,2,0,1
eB2NMM2Gl5EMx18xRZ5zoQ,1,1,2,3,1,0
0PHaY71-nIgli0SP2uP9ow,1,1,3,3,0,0
z9XKn5If-sQbgP0RRBPTag,1,1,0,3,0,0
mmqmkfMhieEwFEOqx7h8QQ,0,0,1,2,0,1
WubOd-Yvy9xJ0__MW8EAeg,0,0,1,2,0,1
AZs18moR9Cnw6-gBV6lDjg,0,0,1,2,0,1
YY4HdASG5kqAIvpsBsFTSQ,0,0,1,2,0,1
mROBCrCJf9bXf2DGEkjltA,1,1,0,3,0,0
zi2zwTe0z_s37H3DxbvMlw,0,0,1,2,0,1
e3CMW-mwdvUFcR18F-XfNA,1,1,2,3,1,0
Ed20T0T3jkAqVBBiyXju6A,0,0,1,2,0,1
kQw8-upp5hdF6sdDQDbEcA,0,0,1,2,0,1
NzCN57uM-8-V1HcfA8DCng,1,1,0,3,0,0
vrCWRujtod6YqPdIMy13Yg,0,0,1,2,0,1
i4wXrc3JwSc9owlX0Eg0mA,1,1,0,3,0,0
XhOS6zksaexHgRxXMec7ww,1,1,2,3,1,0
gjgtbYfiE5UWh8vysLESiA,1,1,2,3,1,0
fRLeDaDyOLZU2ByBW_pR3g,0,0,1,2,0,1
tupoY17A29ZfHh8L9HynMg,1,1,4,3,1,0
-Xvw4qxqFv4dtyDkA6EUHA,0,0,1,2,0,1
PWzoTOfadyfmVAI5cIuYrQ,0,0,1,2,0,1
33dlYSN4KPMarxKCVXmQ0A,0,0,1,2,0,1
oBSAbr17LLm71rbJaqABmA,0,0,1,2,0,1
lHVRMjg-73puXFAXNmzRIg,0,0,1,2,0,1
noO4lNaRrN8OcB1Epk8ZXg,0,0,1,2,0,1
wxAl9CvjpJA6iJWdH4yQtA,1,1,4,3,1,0
3sPS9BDsY0ToajdDVQRPFw,0,0,1,2,0,1
K98gnM-GC131akpp4b6JQA,2,2,-1,1,2,2
on1F9FI2hyUw578Mdz4ybw,0,0,1,2,0,1
1ql471w6SCT4WmGuhgcECg,1,1,0,3,0,0
0oa1TBOTvvW9cxEW29RgmA,0,0,1,2,0,1
218UwmxL0OGC3we3CZAcwg,1,1,3,3,0,0
FgvQ8E1jNc9F80k5ROI9Kg,0,0,1,2,0,1
dRbNey2qhvVEx5zEoCZUyw,0,0,1,2,0,1
YWKvKW0qmtNdbnlqoyHTOA,0,0,1,2,0,1
0o1sbpoh3DTfZ-b9fEC_jQ,0,0,1,2,0,1
ibYds1FU8IqPhoqtY-zSKw,0,0,1,2,0,1
mZY3NljShzpVihYYT0vk3w,1,1,3,3,0,0
spqpb4141ziEBNMywYC0Mw,0,0,1,2,0,1
A69XEGC7ARncaGup8Iu_tw,0,0,1,2,0,1
W41iFVGdDatFi-C84gBFJA,1,1,0,3,0,0
mE6-B9YhbbVTEolfYO_t8g,0,0,1,2,0,1
HIVJQWOmDfPUGivquruwLQ,0,0,1,2,0,1
AVjmVlQ0X36pr2yLagAmBQ,1,1,0,3,0,0
Onlj0HWR1ucOBPDTuENG_g,2,2,-1,1,2,2
FaH8lFDinf4txzoTIHnHhA,0,0,1,2,0,1
ALbod4X-TnIGBuzErj9PKw,1,1,0,3,0,0
elqsbb35Y_KOsjQ-7wMTwQ,1,1,3,3,0,0
9MvgCEkFOl0T00fV4ux34Q,0,0,1,2,0,1
2FUs-hEfAvGoJpjmrmfpBg,2,2,-1,1,2,2
qbtE6cAH34_OexY7I1zvIQ,0,0,1,2,0,1
1xWnANnx62V-LOrY16YhTQ,0,0,1,2,0,1
_W_huWTailfYXp2YXRRv9A,0,0,1,2,0,1
bXqB-ig0D5AMZzfNk7hNGA,0,0,1,2,0,1
LIosaegKAcQPaH5P_8l1Rw,1,1,0,3,0,0
Htx0bjQtOsoEIVBoSbjh5g,0,0,1,2,0,1
vG12lnFWhWxMn36omvbl5w,0,0,1,2,0,1
ewGLR8wOCi4LXlOnC-aWtQ,0,0,1,2,0,1
RXOj_n4D3ph_uAz2xX4Jiw,0,0,1,2,0,1
q4M1K7vcjT-OHJ096eIkdA,0,0,1,2,0,1
ItfINvz4l9152yc_LpgT4g,1,1,0,3,0,0
_BTs_kXgBxNRjRR32uBE8Q,0,0,1,2,0,1
XTf_KSMPo66PKYZaF1kC0g,1,1,0,3,0,0
lH95u6Wh6O4wfrJcdaQaxA,0,0,1,2,0,1
8eyVDfgTZE9K4S3mqJRn-g,0,0,1,2,0,1
r1D1LoQE-xEVnU47kdvj7Q,1,1,0,3,0,0
-wMAEMLY81j7Fv9VGIvgkA,0,0,1,2,0,1
acsJgmoaAbK89xSSZnEwqA,0,0,1,2,0,1
TlM9SYgWUhfuoNzV1Z9xSA,0,0,1,2,0,1
uTVytMSngeGAbAB7C-AoWw,0,0,1,2,0,1
ukphBA8BJG1-VPP0gDyLQA,1,1,0,3,0,0
leKvjWKBaVVGmFpnTfIviA,0,0,1,2,0,1
xupy2N92ZSWLLtpZSJEFvw,0,0,1,2,0,1
MicZ5K3EmAbJTCSHhL-JYA,1,1,0,3,0,0
IOX4m9-sWTcjaqDy3r_O8Q,0,0,1,2,0,1
1c7vRTlzNcrUC0jf2mtXQQ,0,0,1,2,0,1
cE5-O3TseC04rJEvdD29xQ,0,0,1,2,0,1
vZeNQF2DJXMa5WhqhCMEfw,0,0,1,2,0,1
2jXh1Joluq5iEke8dO4iQg,0,0,1,2,0,1
ZDzpjG0j4gwLmFUhVlyscA,1,1,3,3,0,0
aTaM40x1gsuhdhpiXA6Hww,1,1,0,3,0,0
KROSYaouA4OwGI7pUl8HBA,0,0,1,2,0,1
RJBOCbA2v1Kiw8-Nnb49sQ,0,0,1,2,0,1
lka3zm3-0jpb4FFB1-FzRg,0,0,1,2,0,1
UY-0pWp8Pz1taAKvdqpBPw,0,0,1,2,0,1
CfBd6ZCWJU0T3xkQxjs7Bw,0,0,1,2,0,1
ON6iSqel9rB324tQlnCwCg,0,0,1,2,0,1
GFdpIJQSJANaas61z3U7Dw,0,0,1,2,0,1
49BTYudO83ptJQ573lGFAg,0,0,1,2,0,1
-9QrNxZ0l0cSbTYXPlsu_g,0,0,1,2,0,1
AZ0x5G3aEl8inM50vIA7tQ,0,0,1,2,0,1
txF-MG9SeETUXJMqlfpUNw,0,0,1,2,0,1
dAEOwbAgsUcbO_qcsNhJVg,0,0,1,2,0,1
hZ3B1nnrAfPSiKQErdtWUw,0,0,1,2,0,1
H7f5JJM4FFXyqm4_jtfC_w,0,0,1,2,0,1
mUsOaUUWRHN9eWUd3tjwag,0,0,1,2,0,1
0JjajpVf4J58Lum3N0oazQ,1,1,4,3,1,0
BX6NLVj5u4fGDnSrdIWy4Q,0,0,1,2,0,1
9in3qX5ucrNXtcULTSsTAg,0,0,1,2,0,1
rMo9iqZlMacVW4MPJWW7dA,1,1,2,3,1,0
GYLB1C5nkwnK7PjEk3P7YA,0,0,1,2,0,1
mlnqX6MzQ0FxUbcVY782ww,0,0,1,2,0,1
Y7NE0d5MeQXXYbXdD3wE2A,0,0,1,2,0,1
NPt226QxlNcNdMtD7Qx4zg,1,1,0,3,0,0
aCxuyGYhT0EGJ_yRb5e63Q,1,1,0,3,0,0
ZdPn9sXbm9y56pQS9HkbJw,0,0,1,2,0,1
_dzKPhkCxmIhlX9gS8d2RA,1,1,3,3,0,0
Goz6dI0a0ZraQauaULjhqg,0,0,1,2,0,1
9UzRLBkoQuFSamguUx-U9w,0,0,1,2,0,1
8PbMAVjY_gnHnzx_EJI-EQ,0,0,1,2,0,1
TLOWXC-oCq65p7AM-2QoWw,0,0,1,2,0,1
xCQcH9Dm_y_LXzas3TlJEw,0,0,1,2,0,1
5w-Y0PQqyv5041mf-b9bhw,0,0,1,2,0,1
xyN9htBl_Fap5jcxB42nCA,0,0,1,2,0,1
YAJKHDCoJpGVdZ0OkigKEw,0,0,1,2,0,1
OMOied6Rx-Z_t3usTtKiOQ,0,0,1,2,0,1
AbVgoxGyGoAWWIb4LdGsww,0,0,1,2,0,1
o_G9cuzzwQv5f2lCbF0Cuw,1,1,4,3,1,0
Opq3UOxFj_h7MXHtWeP-Zw,0,0,1,2,0,1
GfN4M3SfoVmKc6kKZHHWow,0,0,1,2,0,1
pU8udtjld_ZGCue5bx_Zsw,0,0,1,2,0,1
BAUQ0614gxQbAlCA3R7LBQ,1,1,3,3,0,0
RUMrLLZd4iVX50MYQMxJuQ,1,1,0,3,0,0
T4YO5ZbNCn_Ouuw1Joyqrw,0,0,1,2,0,1
t3RUgootsj5d_BpcMtgnsA,1,1,3,3,0,0
_aAlfachfrwFP66th7-muA,1,1,3,3,0,0
OxYXdo5tEY3pUWwkhc75cw,0,0,1,2,0,1
zekiCxtF-O8gF7agmUQm6g,2,2,-1,1,0,2
31KguRq9525Y_5Krvwv3kA,0,0,1,2,0,1
umIUqUZqRkuBxC-JuemBog,1,1,0,3,0,0
RmEJbVQqaMRCDxK6ShPdbw,1,1,0,3,0,0
MOznRpXGcJS9yulRddieCA,1,1,0,3,0,0
nkAr3wo8tFt6h5mjJPI-7w,0,0,1,2,0,1
_8Fl0b4xPawuNOBJzv8dlg,0,0,1,2,0,1
vMEhp2RlSKbZCuTMfPILZQ,0,0,1,2,0,1
cWovCSAoy3S_dZoD8ZI8LA,1,1,0,3,0,0
roUACbJmZDzXw_oUdKvy8A,0,0,1,2,0,1
7R_YsiFsGAOClmtqYbfV6A,1,1,4,3,1,0
B2cAVkDQJ3GgLbYyMihaeg,1,1,2,3,1,0
dqE7pNanuOomZbW8sVNsqg,0,0,1,2,0,1
QEppKMWGBN-Z64gE3S53IA,0,0,1,2,0,1
sRWbt7IiRhKA0UJ-sG_Axw,0,0,1,2,0,1
Sd2Z3ref7pNiKv9ylHtUMA,0,0,1,2,0,1
eELlcMBj-hQkYfxmunGikQ,0,0,1,2,0,1
G8aYRUDZ5MTWuRCGbple1g,0,0,1,2,0,1
Tx4-FBmzZflLAssQhiGRgQ,0,0,1,2,0,1
W7sIsJH3LJSMePh-8dP-0w,0,0,1,2,0,1
7w_oX-YD7NOJ26h625kc7g,1,1,3,3,0,0
xZfssbFXzM3-sGQPj44R5w,0,0,1,2,0,1
--xdSgqUJmcvJot-3OIq0g,0,0,1,2,0,1
CAZw4j1dvBYpBhZq-OdC9A,0,0,1,2,0,1
oJl-C8UECsibhHS2dB8yzQ,1,1,2,3,1,0
jl0oEkwNCP06zr1nt1P2ew,0,0,1,2,0,1
ky46ONnAksWAV5ONL8JmPg,1,1,0,3,0,0
nYSoK4ck0e39KxGWWoalGQ,0,0,1,2,0,1
QJoXDmS6ahJ8pP9lbEVhGg,1,1,0,3,0,0
61xeeQrsst4ISeH5_TT-tg,1,1,0,3,0,0
Wt4Xpp8uJRRMACV5gvxmUg,1,1,0,3,0,0
63Y5teNX2OKwDR4efbqubg,0,0,1,2,0,1
UV57gxG3Mj5cHGiOsLKzsw,0,0,1,2,0,1
KYr1mr7NjRQicflxVxlR6Q,1,1,3,3,0,0
014XE1ou8dyKWhV1dRrrJQ,0,0,1,2,0,1
JMNGjo7BHvRnSgNmfRpfQw,0,0,1,2,0,1
l3D9ec9Tnv7nuPvyomom7Q,1,1,0,3,0,0
EdDYuyT8h-qY4Axy-9Xd7w,0,0,1,2,0,1
YA6iEmvrCjjExV_DTSzOOg,0,0,1,2,0,1
oHnSznYNayUkSQ4Cy_6PbQ,1,1,4,3,1,0
pOTRc3VY-03BTZCbuFqk4w,0,0,1,2,0,1
V6jkXtJsElbzpm9iq1Yw5A,1,1,3,3,0,0
aWGGMIpW6_Exq2Uyl8fUyw,0,0,1,2,0,1
JF9bGJvKLijE87qXQ28aNQ,0,0,1,2,0,1
e8_5m6EBlhpaZyiE3sayAQ,0,0,1,2,0,1
1U21RwkPgj1EsMzxPGw-ZA,0,0,1,2,0,1
iSJNsxO9tQDOOmTDCxzKLQ,0,0,1,2,0,1
QjkXG3jBrH5CTIirqF5QSQ,0,0,1,2,0,1
7bxLrBcTzQmSmv01Ramoxg,1,1,0,3,0,0
f6-8llyH_ZiWA_2KX-ZwgA,0,0,1,2,0,1
yhwYfT96Wn7iN7DCRmGGCA,1,1,4,3,1,0
I9vkjKs1O5Ctf5gy0ry4yg,0,0,1,2,0,1
VxpIKgk11dY00FdxwjkQGQ,2,2,-1,1,2,2
evnyfXDWW39FI3NUYU1fFQ,0,0,1,2,0,1
OJtHtBSe64AuDaRzNTjHsQ,0,0,1,2,0,1
JAhsIqvodwvzWNeyDpyBmA,0,0,1,2,0,1
S4mmb1b_vYAkQm22QYoYDA,0,0,1,2,0,1
3S7cA5U-pGl1mC_9J0nTcw,1,1,2,3,1,0
FHsy9otB2hl-vyvaT-qh7w,0,0,1,2,0,1
wD7QUkIBd_NU6mFXVam6cQ,0,0,1,2,0,1
B5dWqLJpZnY0QMWRIGb_rA,1,1,0,3,0,0
WcHGqH9kwTKsvsN_w12cgQ,0,0,1,2,0,1
rZoaLSr-5xnbOqOXwAWYcQ,2,2,-1,1,0,2
NpWaYPVSI0-xCIiuDUPOdw,1,1,0,3,0,0
X2fS4yFdNEJgZEJNkSbJAg,0,0,1,2,0,1
0V9_GC0Mldcm51oSfM3OrA,0,0,1,2,0,1
pfIrPktLxDjniZludXs88A,1,1,0,3,0,0
mqfglxPe5B8sHrMoJ5AdbA,0,0,1,2,0,1
cyP9ECQdAdGTxMIvSkuJOQ,1,1,0,3,0,0
vl43zR4ljqPt8qxqJvrKMA,1,1,4,3,1,0
U4v2Z0rLNyX8PWE_eh4TGQ,0,0,1,2,0,1
GAdj9ZAywdkwfDNxej2Peg,0,0,1,2,0,1
-p58hrZZuibsKh_BBAn8pg,0,0,1,2,0,1
IWVOlQRQhfS_xs3auz-4cA,0,0,1,2,0,1
oYoFZev0U3zKV5vRWf3I0A,0,0,1,2,0,1
REejyBWrQljPazhxdTPoSA,1,1,0,3,0,0
j2nkDuf3Iwaifzizx8OlZQ,0,0,1,2,0,1
k84XUMmUjJLi-vOqScytFg,0,0,1,2,0,1
B9eX0M5lRgf-z0qVcmfPtw,0,0,1,2,0,1
fICa2AP2DxXVUgv_v9d5MQ,0,0,1,2,0,1
Ucv0giBrBLgMyztKi7nFxg,0,0,1,2,0,1
wJsxp73SqeCGLOKj4p7_9A,0,0,1,2,0,1
spZoUHadetAlOp1k6yg5Xw,0,0,1,2,0,1
9GMNk2r_oq1TcBObXwU15Q,0,0,1,2,0,1
1hE_o6BdPnl7GA9372srhw,1,1,3,3,0,0
OrDjTUUA8z8p-FJQ5OjNag,1,1,3,3,0,0
9yN2oXzyYpW49_XrHOYF4A,0,0,1,2,0,1
n2ohx5_VMXU4CQvUSMTUBQ,1,1,2,3,1,0
gtzzSBzavYPL9hzgZVIR9w,1,1,3,3,0,0
-Jdgp6wYcPNGaJXdG36wCA,1,1,0,3,0,0
v6vLkcotT_DEDRGDya9r6Q,0,0,1,2,0,1
oiMbJahNrBDmQWWeqxo1hA,1,1,0,3,0,0
cP2oxOBWMNjgbLmk2TFhIw,0,0,1,2,0,1
gf6DLRu-68QQgSbnjLmJGA,0,0,1,2,0,1
xgBePEV9y7FP-gH9t9V9_Q,1,1,0,3,0,0
LNjgN6Hg9Im2jsc9_2lDvQ,0,0,1,2,0,1
zgI3dXvJOza-W7TZBvwlfA,1,1,0,3,0,0
AaCvUf2FekXSUcbGUh67yg,0,0,1,2,0,1
x2_IKB_JMqgduri3TGn60A,0,0,1,2,0,1
CpuO-YzLVqRG5L-UvwiQdQ,0,0,1,2,0,1
0yee0_T_FuKnD8lCGNk6NQ,0,0,1,2,0,1
Or_NYMnyL_EcWnMpkzxDgw,0,0,1,2,0,1
rF2k44QZmQ4ZDbEv7F8PRg,0,0,1,2,0,1
6duTA2lVm82EJfNkDlRBMw,1,1,0,3,0,0
j4SdOoAfQr_PbyDS6RBMSQ,1,1,0,3,0,0
klvGDhcEBmqfwlwyawk94A,0,0,1,2,0,1
Vuv_VCm8E3rNo9zGyY3Q9A,0,0,1,2,0,1
iQd0Xxcu1KP3YsrfkccnpQ,0,0,1,2,0,1
HwmeT0Rq9OI4ox04WlNdAg,0,0,1,2,0,1
LcutieagiJwQAK92DQnl5w,0,0,1,2,0,1
P239BrmNnjyQQ_waQ-yiqA,1,1,0,3,0,0
cYihtf2v0PA4VcDLAZ6nmQ,0,0,1,2,0,1
vI5o-dmip5Bd38hjfIoDWg,2,2,-1,1,2,2
Zx3attR6_bBrrolMBnad7g,0,0,1,2,0,1
eouHqadFM1la9S6HrtTOJw,1,1,0,3,0,0
UWNowKoYa8KOmITG1Jc7Iw,1,1,0,3,0,0
Y_UVOqfAkP-cSy2KD_Szlg,0,0,1,2,0,1
3ahRrDMIEju8EkyzhUkLuQ,0,0,1,2,0,1
oDzcyI-nTTs1WKdllBZmYg,0,0,1,2,0,1
lglDDYtnpJvQBzRiiiihOg,1,1,0,3,0,0
oWwfM9fVoymZSeai5B85JQ,0,0,1,2,0,1
FRTed_TjXG-ocDy-638tGQ,0,0,1,2,0,1
krh8ekibnm7pd51QpQblpw,0,0,1,2,0,1
0oWVWaem_jIz8KQSet2w-g,1,1,0,3,0,0
T9edXOgkvAAsHnbUILdHvw,0,0,1,2,0,1
65tbnDFr99Dz-oBEDKMneg,1,1,0,3,0,0
z1qy5eGtM4Fm0pBVQuwAcA,0,0,1,2,0,1
fbGdusKiyawHi8cfUImm3g,0,0,1,2,0,1
2RZiPcXFx1Raob4vL2mCcg,1,1,3,3,0,0
ymJ6rlktA0yVKD8OhFMp3w,0,0,1,2,0,1
caD7Fty8VHZe4aWAo-elCQ,1,1,3,3,0,0
NhwWlbb9wUawnHHX-Qc2DQ,0,0,1,2,0,1
5i3pYogI1ng-2h0x6EZFZA,2,2,-1,1,2,2
yKyxY2OQru1Gt-gOLDYd-A,1,1,0,3,0,0
pxWBOA8_xafSc3dCcs2rdQ,0,0,1,2,0,1
g1-KOtDZGLc7mDyO-KcufQ,0,0,1,2,0,1
BTObidcqKi-JZqCx3WD72w,0,0,1,2,0,1
cNdpR4vUzV1L9dsK6todVg,2,2,-1,1,0,2
y9vhhQw-UmMcS1y4r2aYTg,1,1,0,3,0,0
8FKH6CpKHtw3DCh7EC6VBQ,1,1,0,3,0,0
gRPGy73WjCPK-msc-9xwrw,0,0,1,2,0,1
X6EfZeVLLFev5-Ur_piQ7Q,0,0,1,2,0,1
vJi2PxtLlRFDzTgYmf552Q,0,0,1,2,0,1
RCcqKQ7rkAsg6n8NfJTOOA,1,1,0,3,0,0
